altersgruppe,region,datum,anzahl,summe,population
20 - 29,CH,2021-01-04,3954,84042,1027732
30 - 39,CH,2021-01-04,3652,81579,1254957
40 - 49,CH,2021-01-04,3285,76568,1205539
50 - 59,CH,2021-01-04,3638,81307,1300012
60 - 69,CH,2021-01-04,2014,46767,991217
70 - 79,CH,2021-01-04,1399,31310,744449
80+,CH,2021-01-04,1662,36709,471987
Unbekannt,CH,2021-01-04,2,114,NA
0 - 9,CH,2021-01-11,244,4988,883904
10 - 19,CH,2021-01-11,1485,41211,858994
20 - 29,CH,2021-01-11,2672,86714,1027732
30 - 39,CH,2021-01-11,2480,84059,1254957
40 - 49,CH,2021-01-11,2296,78864,1205539
50 - 59,CH,2021-01-11,2487,83794,1300012
60 - 69,CH,2021-01-11,1306,48073,991217
70 - 79,CH,2021-01-11,959,32269,744449
80+,CH,2021-01-11,1266,37975,471987
Unbekannt,CH,2021-01-11,2,116,NA
0 - 9,CH,2021-01-18,385,5373,883904
10 - 19,CH,2021-01-18,1555,42766,858994
20 - 29,CH,2021-01-18,2184,88898,1027732
30 - 39,CH,2021-01-18,2216,86275,1254957
40 - 49,CH,2021-01-18,2155,81019,1205539
50 - 59,CH,2021-01-18,2076,85870,1300012
60 - 69,CH,2021-01-18,1202,49275,991217
70 - 79,CH,2021-01-18,722,32991,744449
80+,CH,2021-01-18,990,38965,471987
Unbekannt,CH,2021-01-18,0,116,NA
0 - 9,CH,2021-01-25,452,5825,883904
10 - 19,CH,2021-01-25,1400,44166,858994
20 - 29,CH,2021-01-25,1627,90525,1027732
30 - 39,CH,2021-01-25,1930,88205,1254957
40 - 49,CH,2021-01-25,1898,82917,1205539
50 - 59,CH,2021-01-25,1788,87658,1300012
60 - 69,CH,2021-01-25,1023,50298,991217
70 - 79,CH,2021-01-25,602,33593,744449
80+,CH,2021-01-25,794,39759,471987
Unbekannt,CH,2021-01-25,2,118,NA
0 - 9,CH,2021-02-01,538,6363,883904
10 - 19,CH,2021-02-01,1349,45515,858994
20 - 29,CH,2021-02-01,1453,91978,1027732
30 - 39,CH,2021-02-01,1681,89886,1254957
40 - 49,CH,2021-02-01,1645,84562,1205539
50 - 59,CH,2021-02-01,1479,89137,1300012
60 - 69,CH,2021-02-01,811,51109,991217
70 - 79,CH,2021-02-01,485,34078,744449
80+,CH,2021-02-01,615,40374,471987
Unbekannt,CH,2021-02-01,1,119,NA
0 - 9,CH,2021-02-08,342,6705,883904
10 - 19,CH,2021-02-08,1028,46543,858994
20 - 29,CH,2021-02-08,1248,93226,1027732
30 - 39,CH,2021-02-08,1348,91234,1254957
40 - 49,CH,2021-02-08,1348,85910,1205539
50 - 59,CH,2021-02-08,1144,90281,1300012
60 - 69,CH,2021-02-08,651,51760,991217
70 - 79,CH,2021-02-08,384,34462,744449
80+,CH,2021-02-08,371,40745,471987
Unbekannt,CH,2021-02-08,0,119,NA
0 - 9,CH,2021-02-15,226,6931,883904
10 - 19,CH,2021-02-15,860,47403,858994
20 - 29,CH,2021-02-15,1108,94334,1027732
30 - 39,CH,2021-02-15,1178,92412,1254957
40 - 49,CH,2021-02-15,1172,87082,1205539
50 - 59,CH,2021-02-15,1090,91371,1300012
60 - 69,CH,2021-02-15,630,52390,991217
70 - 79,CH,2021-02-15,361,34823,744449
80+,CH,2021-02-15,353,41098,471987
Unbekannt,CH,2021-02-15,1,120,NA
0 - 9,CH,2021-02-22,231,7162,883904
10 - 19,CH,2021-02-22,897,48300,858994
20 - 29,CH,2021-02-22,1160,95494,1027732
30 - 39,CH,2021-02-22,1250,93662,1254957
40 - 49,CH,2021-02-22,1218,88300,1205539
50 - 59,CH,2021-02-22,1105,92476,1300012
60 - 69,CH,2021-02-22,635,53025,991217
70 - 79,CH,2021-02-22,392,35215,744449
80+,CH,2021-02-22,322,41420,471987
Unbekannt,CH,2021-02-22,0,120,NA
0 - 9,CH,2021-03-01,278,7440,883904
10 - 19,CH,2021-03-01,933,49233,858994
20 - 29,CH,2021-03-01,1286,96780,1027732
30 - 39,CH,2021-03-01,1241,94903,1254957
40 - 49,CH,2021-03-01,1266,89566,1205539
50 - 59,CH,2021-03-01,1277,93753,1300012
60 - 69,CH,2021-03-01,682,53707,991217
70 - 79,CH,2021-03-01,382,35597,744449
80+,CH,2021-03-01,236,41656,471987
Unbekannt,CH,2021-03-01,0,120,NA
0 - 9,CH,2021-03-08,419,7859,883904
10 - 19,CH,2021-03-08,1306,50539,858994
20 - 29,CH,2021-03-08,1486,98266,1027732
30 - 39,CH,2021-03-08,1395,96298,1254957
40 - 49,CH,2021-03-08,1478,91044,1205539
50 - 59,CH,2021-03-08,1305,95058,1300012
60 - 69,CH,2021-03-08,731,54438,991217
70 - 79,CH,2021-03-08,414,36011,744449
80+,CH,2021-03-08,249,41905,471987
Unbekannt,CH,2021-03-08,0,120,NA
0 - 9,CH,2021-03-15,579,8438,883904
10 - 19,CH,2021-03-15,1498,52037,858994
20 - 29,CH,2021-03-15,1726,99992,1027732
30 - 39,CH,2021-03-15,1786,98084,1254957
40 - 49,CH,2021-03-15,1796,92840,1205539
50 - 59,CH,2021-03-15,1593,96651,1300012
60 - 69,CH,2021-03-15,848,55286,991217
70 - 79,CH,2021-03-15,403,36414,744449
80+,CH,2021-03-15,263,42168,471987
Unbekannt,CH,2021-03-15,2,122,NA
0 - 9,CH,2021-03-22,650,9088,883904
10 - 19,CH,2021-03-22,1858,53895,858994
20 - 29,CH,2021-03-22,2168,102160,1027732
30 - 39,CH,2021-03-22,2165,100249,1254957
40 - 49,CH,2021-03-22,2106,94946,1205539
50 - 59,CH,2021-03-22,1880,98531,1300012
60 - 69,CH,2021-03-22,1007,56293,991217
70 - 79,CH,2021-03-22,445,36859,744449
80+,CH,2021-03-22,249,42417,471987
Unbekannt,CH,2021-03-22,2,124,NA
0 - 9,CH,2021-03-29,648,9736,883904
10 - 19,CH,2021-03-29,1676,55571,858994
