altersgruppe,region,datum,anzahl,summe,population
20 - 29,CH,2021-03-29,2098,104258,1027732
30 - 39,CH,2021-03-29,2189,102438,1254957
40 - 49,CH,2021-03-29,2105,97051,1205539
50 - 59,CH,2021-03-29,1851,100382,1300012
60 - 69,CH,2021-03-29,1032,57325,991217
70 - 79,CH,2021-03-29,416,37275,744449
80+,CH,2021-03-29,269,42686,471987
Unbekannt,CH,2021-03-29,2,126,NA
0 - 9,CH,2021-04-05,602,10338,883904
10 - 19,CH,2021-04-05,1808,57379,858994
20 - 29,CH,2021-04-05,2602,106860,1027732
30 - 39,CH,2021-04-05,2597,105035,1254957
40 - 49,CH,2021-04-05,2421,99472,1205539
50 - 59,CH,2021-04-05,2261,102643,1300012
60 - 69,CH,2021-04-05,1137,58462,991217
70 - 79,CH,2021-04-05,467,37742,744449
80+,CH,2021-04-05,239,42925,471987
Unbekannt,CH,2021-04-05,2,128,NA
0 - 9,CH,2021-04-12,609,10947,883904
10 - 19,CH,2021-04-12,1969,59348,858994
20 - 29,CH,2021-04-12,2538,109398,1027732
30 - 39,CH,2021-04-12,2454,107489,1254957
40 - 49,CH,2021-04-12,2322,101794,1205539
50 - 59,CH,2021-04-12,2394,105037,1300012
60 - 69,CH,2021-04-12,1135,59597,991217
70 - 79,CH,2021-04-12,425,38167,744449
80+,CH,2021-04-12,229,43154,471987
Unbekannt,CH,2021-04-12,2,130,NA
0 - 9,CH,2021-04-19,730,11677,883904
10 - 19,CH,2021-04-19,2101,61449,858994
20 - 29,CH,2021-04-19,2457,111855,1027732
30 - 39,CH,2021-04-19,2481,109970,1254957
40 - 49,CH,2021-04-19,2523,104317,1205539
50 - 59,CH,2021-04-19,2368,107405,1300012
60 - 69,CH,2021-04-19,1171,60768,991217
70 - 79,CH,2021-04-19,464,38631,744449
80+,CH,2021-04-19,220,43374,471987
Unbekannt,CH,2021-04-19,2,132,NA
0 - 9,CH,2021-04-26,639,12316,883904
10 - 19,CH,2021-04-26,1738,63187,858994
20 - 29,CH,2021-04-26,2070,113925,1027732
30 - 39,CH,2021-04-26,2028,111998,1254957
40 - 49,CH,2021-04-26,2087,106404,1205539
50 - 59,CH,2021-04-26,1872,109277,1300012
60 - 69,CH,2021-04-26,845,61613,991217
70 - 79,CH,2021-04-26,370,39001,744449
80+,CH,2021-04-26,218,43592,471987
Unbekannt,CH,2021-04-26,0,132,NA
0 - 9,CH,2021-05-03,689,13005,883904
10 - 19,CH,2021-05-03,1639,64826,858994
20 - 29,CH,2021-05-03,1666,115591,1027732
30 - 39,CH,2021-05-03,1758,113756,1254957
40 - 49,CH,2021-05-03,1846,108250,1205539
50 - 59,CH,2021-05-03,1589,110866,1300012
60 - 69,CH,2021-05-03,680,62293,991217
70 - 79,CH,2021-05-03,277,39278,744449
80+,CH,2021-05-03,153,43745,471987
Unbekannt,CH,2021-05-03,0,132,NA
0 - 9,CH,2021-05-10,560,13565,883904
10 - 19,CH,2021-05-10,1314,66140,858994
20 - 29,CH,2021-05-10,1244,116835,1027732
30 - 39,CH,2021-05-10,1423,115179,1254957
40 - 49,CH,2021-05-10,1336,109586,1205539
50 - 59,CH,2021-05-10,1173,112039,1300012
60 - 69,CH,2021-05-10,520,62813,991217
70 - 79,CH,2021-05-10,170,39448,744449
80+,CH,2021-05-10,99,43844,471987
Unbekannt,CH,2021-05-10,0,132,NA
0 - 9,CH,2021-05-17,519,14084,883904
10 - 19,CH,2021-05-17,1344,67484,858994
20 - 29,CH,2021-05-17,1217,118052,1027732
30 - 39,CH,2021-05-17,1324,116503,1254957
40 - 49,CH,2021-05-17,1259,110845,1205539
50 - 59,CH,2021-05-17,976,113015,1300012
60 - 69,CH,2021-05-17,418,63231,991217
70 - 79,CH,2021-05-17,159,39607,744449
80+,CH,2021-05-17,128,43972,471987
Unbekannt,CH,2021-05-17,0,132,NA
0 - 9,CH,2021-05-24,293,14377,883904
10 - 19,CH,2021-05-24,945,68429,858994
20 - 29,CH,2021-05-24,859,118911,1027732
30 - 39,CH,2021-05-24,940,117443,1254957
40 - 49,CH,2021-05-24,889,111734,1205539
50 - 59,CH,2021-05-24,704,113719,1300012
60 - 69,CH,2021-05-24,287,63518,991217
70 - 79,CH,2021-05-24,97,39704,744449
80+,CH,2021-05-24,95,44067,471987
Unbekannt,CH,2021-05-24,0,132,NA
0 - 9,CH,2021-05-31,196,14573,883904
10 - 19,CH,2021-05-31,661,69090,858994
20 - 29,CH,2021-05-31,622,119533,1027732
30 - 39,CH,2021-05-31,662,118105,1254957
40 - 49,CH,2021-05-31,625,112359,1205539
50 - 59,CH,2021-05-31,443,114162,1300012
60 - 69,CH,2021-05-31,177,63695,991217
70 - 79,CH,2021-05-31,68,39772,744449
80+,CH,2021-05-31,62,44129,471987
Unbekannt,CH,2021-05-31,0,132,NA
0 - 9,CH,2021-06-07,127,14700,883904
10 - 19,CH,2021-06-07,411,69501,858994
20 - 29,CH,2021-06-07,408,119941,1027732
30 - 39,CH,2021-06-07,473,118578,1254957
40 - 49,CH,2021-06-07,378,112737,1205539
50 - 59,CH,2021-06-07,300,114462,1300012
60 - 69,CH,2021-06-07,134,63829,991217
70 - 79,CH,2021-06-07,44,39816,744449
80+,CH,2021-06-07,38,44167,471987
Unbekannt,CH,2021-06-07,0,132,NA
0 - 9,CH,2021-06-14,99,14799,883904
10 - 19,CH,2021-06-14,205,69706,858994
20 - 29,CH,2021-06-14,217,120158,1027732
30 - 39,CH,2021-06-14,239,118817,1254957
40 - 49,CH,2021-06-14,199,112936,1205539
50 - 59,CH,2021-06-14,167,114629,1300012
60 - 69,CH,2021-06-14,69,63898,991217
70 - 79,CH,2021-06-14,26,39842,744449
80+,CH,2021-06-14,16,44183,471987
Unbekannt,CH,2021-06-14,1,133,NA
0 - 9,CH,2021-06-21,39,14838,883904
10 - 19,CH,2021-06-21,143,69849,858994
20 - 29,CH,2021-06-21,154,120312,1027732
30 - 39,CH,2021-06-21,140,118957,1254957
40 - 49,CH,2021-06-21,102,113038,1205539
50 - 59,CH,2021-06-21,84,114713,1300012
60 - 69,CH,2021-06-21,52,63950,991217
70 - 79,CH,2021-06-21,16,39858,744449
80+,CH,2021-06-21,14,44197,471987
Unbekannt,CH,2021-06-21,0,133,NA
0 - 9,CH,2021-06-28,27,14865,883904
10 - 19,CH,2021-06-28,206,70055,858994
20 - 29,CH,2021-06-28,341,120653,1027732
30 - 39,CH,2021-06-28,190,119147,1254957
40 - 49,CH,2021-06-28,115,113153,1205539
50 - 59,CH,2021-06-28,84,114797,1300012
60 - 69,CH,2021-06-28,36,63986,991217
70 - 79,CH,2021-06-28,16,39874,744449
80+,CH,2021-06-28,11,44208,471987
Unbekannt,CH,2021-06-28,0,133,NA
0 - 9,CH,2021-07-05,50,14915,883904
10 - 19,CH,2021-07-05,383,70438,858994
20 - 29,CH,2021-07-05,837,121490,1027732
30 - 39,CH,2021-07-05,364,119511,1254957
40 - 49,CH,2021-07-05,189,113342,1205539
50 - 59,CH,2021-07-05,157,114954,1300012
60 - 69,CH,2021-07-05,40,64026,991217
70 - 79,CH,2021-07-05,19,39893,744449
80+,CH,2021-07-05,8,44216,471987
Unbekannt,CH,2021-07-05,0,133,NA
0 - 9,CH,2021-07-12,143,15058,883904
10 - 19,CH,2021-07-12,693,71131,858994
20 - 29,CH,2021-07-12,1468,122958,1027732
30 - 39,CH,2021-07-12,626,120137,1254957
40 - 49,CH,2021-07-12,389,113731,1205539
50 - 59,CH,2021-07-12,292,115246,1300012
60 - 69,CH,2021-07-12,107,64133,991217
70 - 79,CH,2021-07-12,36,39929,744449
80+,CH,2021-07-12,41,44257,471987
Unbekannt,CH,2021-07-12,3,136,NA
0 - 9,CH,2021-07-19,156,15214,883904
10 - 19,CH,2021-07-19,932,72063,858994
20 - 29,CH,2021-07-19,1699,124657,1027732
30 - 39,CH,2021-07-19,912,121049,1254957
40 - 49,CH,2021-07-19,524,114255,1205539
50 - 59,CH,2021-07-19,441,115687,1300012
60 - 69,CH,2021-07-19,159,64292,991217
70 - 79,CH,2021-07-19,67,39996,744449
80+,CH,2021-07-19,63,44320,471987
Unbekannt,CH,2021-07-19,0,136,NA
0 - 9,CH,2021-07-26,187,15401,883904
10 - 19,CH,2021-07-26,971,73034,858994
20 - 29,CH,2021-07-26,1741,126398,1027732
30 - 39,CH,2021-07-26,915,121964,1254957
40 - 49,CH,2021-07-26,615,114870,1205539
50 - 59,CH,2021-07-26,490,116177,1300012
60 - 69,CH,2021-07-26,179,64471,991217
70 - 79,CH,2021-07-26,81,40077,744449
80+,CH,2021-07-26,66,44386,471987
Unbekannt,CH,2021-07-26,7,143,NA
0 - 9,CH,2021-08-02,268,15669,883904
10 - 19,CH,2021-08-02,1399,74433,858994
20 - 29,CH,2021-08-02,2386,128784,1027732
30 - 39,CH,2021-08-02,1447,123411,1254957
40 - 49,CH,2021-08-02,916,115786,1205539
50 - 59,CH,2021-08-02,721,116898,1300012
60 - 69,CH,2021-08-02,255,64726,991217
70 - 79,CH,2021-08-02,135,40212,744449
80+,CH,2021-08-02,95,44481,471987
Unbekannt,CH,2021-08-02,0,143,NA
0 - 9,CH,2021-08-09,633,16302,883904
10 - 19,CH,2021-08-09,2593,77026,858994
20 - 29,CH,2021-08-09,4114,132898,1027732
30 - 39,CH,2021-08-09,2783,126194,1254957
40 - 49,CH,2021-08-09,1943,117729,1205539
50 - 59,CH,2021-08-09,1211,118109,1300012
60 - 69,CH,2021-08-09,533,65259,991217
70 - 79,CH,2021-08-09,177,40389,744449
80+,CH,2021-08-09,149,44630,471987
Unbekannt,CH,2021-08-09,4,147,NA
0 - 9,CH,2021-08-16,1242,17544,883904
10 - 19,CH,2021-08-16,3396,80422,858994
20 - 29,CH,2021-08-16,4216,137114,1027732
30 - 39,CH,2021-08-16,3795,129989,1254957
40 - 49,CH,2021-08-16,2446,120175,1205539
50 - 59,CH,2021-08-16,1683,119792,1300012
60 - 69,CH,2021-08-16,736,65995,991217
70 - 79,CH,2021-08-16,254,40643,744449
80+,CH,2021-08-16,182,44812,471987
Unbekannt,CH,2021-08-16,2,149,NA
0 - 9,CH,2021-08-23,2100,19644,883904
10 - 19,CH,2021-08-23,3950,84372,858994
20 - 29,CH,2021-08-23,3330,140444,1027732
30 - 39,CH,2021-08-23,3285,133274,1254957
40 - 49,CH,2021-08-23,2416,122591,1205539
50 - 59,CH,2021-08-23,1605,121397,1300012
60 - 69,CH,2021-08-23,698,66693,991217
70 - 79,CH,2021-08-23,294,40937,744449
80+,CH,2021-08-23,204,45016,471987
Unbekannt,CH,2021-08-23,2,151,NA
0 - 9,CH,2021-08-30,2477,22121,883904
10 - 19,CH,2021-08-30,4269,88641,858994
20 - 29,CH,2021-08-30,2878,143322,1027732
30 - 39,CH,2021-08-30,3320,136594,1254957
40 - 49,CH,2021-08-30,2720,125311,1205539
50 - 59,CH,2021-08-30,1697,123094,1300012
60 - 69,CH,2021-08-30,761,67454,991217
70 - 79,CH,2021-08-30,382,41319,744449
80+,CH,2021-08-30,256,45272,471987
Unbekannt,CH,2021-08-30,3,154,NA
0 - 9,CH,2021-09-06,2444,24565,883904
10 - 19,CH,2021-09-06,4205,92846,858994
20 - 29,CH,2021-09-06,2611,145933,1027732
30 - 39,CH,2021-09-06,3115,139709,1254957
40 - 49,CH,2021-09-06,2668,127979,1205539
50 - 59,CH,2021-09-06,1635,124729,1300012
60 - 69,CH,2021-09-06,792,68246,991217
70 - 79,CH,2021-09-06,356,41675,744449
80+,CH,2021-09-06,313,45585,471987
Unbekannt,CH,2021-09-06,8,162,NA
0 - 9,CH,2021-09-13,1395,25960,883904
10 - 19,CH,2021-09-13,2835,95681,858994
20 - 29,CH,2021-09-13,2038,147971,1027732
30 - 39,CH,2021-09-13,2154,141863,1254957
40 - 49,CH,2021-09-13,1905,129884,1205539
50 - 59,CH,2021-09-13,1212,125941,1300012
60 - 69,CH,2021-09-13,582,68828,991217
70 - 79,CH,2021-09-13,355,42030,744449
80+,CH,2021-09-13,240,45825,471987
Unbekannt,CH,2021-09-13,4,166,NA
0 - 9,CH,2021-09-20,903,26863,883904
10 - 19,CH,2021-09-20,1891,97572,858994
20 - 29,CH,2021-09-20,1478,149449,1027732
30 - 39,CH,2021-09-20,1587,143450,1254957
40 - 49,CH,2021-09-20,1382,131266,1205539
50 - 59,CH,2021-09-20,1040,126981,1300012
60 - 69,CH,2021-09-20,537,69365,991217
70 - 79,CH,2021-09-20,307,42337,744449
80+,CH,2021-09-20,200,46025,471987
Unbekannt,CH,2021-09-20,3,169,NA
0 - 9,CH,2021-09-27,750,27613,883904
10 - 19,CH,2021-09-27,1470,99042,858994
20 - 29,CH,2021-09-27,1140,150589,1027732
30 - 39,CH,2021-09-27,1309,144759,1254957
40 - 49,CH,2021-09-27,1215,132481,1205539
50 - 59,CH,2021-09-27,861,127842,1300012
60 - 69,CH,2021-09-27,473,69838,991217
70 - 79,CH,2021-09-27,240,42577,744449
80+,CH,2021-09-27,182,46207,471987
Unbekannt,CH,2021-09-27,7,176,NA
0 - 9,CH,2021-10-04,556,28169,883904
10 - 19,CH,2021-10-04,1107,100149,858994
20 - 29,CH,2021-10-04,1108,151697,1027732
30 - 39,CH,2021-10-04,1076,145835,1254957
40 - 49,CH,2021-10-04,968,133449,1205539
50 - 59,CH,2021-10-04,753,128595,1300012
60 - 69,CH,2021-10-04,367,70205,991217
70 - 79,CH,2021-10-04,246,42823,744449
80+,CH,2021-10-04,189,46396,471987
Unbekannt,CH,2021-10-04,1,177,NA
0 - 9,CH,2021-10-11,465,28634,883904
10 - 19,CH,2021-10-11,1001,101150,858994
20 - 29,CH,2021-10-11,1089,152786,1027732
30 - 39,CH,2021-10-11,1136,146971,1254957
40 - 49,CH,2021-10-11,1008,134457,1205539
50 - 59,CH,2021-10-11,816,129411,1300012
60 - 69,CH,2021-10-11,429,70634,991217
70 - 79,CH,2021-10-11,223,43046,744449
80+,CH,2021-10-11,252,46648,471987
Unbekannt,CH,2021-10-11,2,179,NA
0 - 9,CH,2021-10-18,548,29182,883904
10 - 19,CH,2021-10-18,1306,102456,858994
20 - 29,CH,2021-10-18,1410,154196,1027732
30 - 39,CH,2021-10-18,1559,148530,1254957
40 - 49,CH,2021-10-18,1383,135840,1205539
50 - 59,CH,2021-10-18,1178,130589,1300012
60 - 69,CH,2021-10-18,613,71247,991217
70 - 79,CH,2021-10-18,366,43412,744449
80+,CH,2021-10-18,331,46979,471987
Unbekannt,CH,2021-10-18,2,181,NA
0 - 9,CH,2021-10-25,994,30176,883904
10 - 19,CH,2021-10-25,1936,104392,858994
20 - 29,CH,2021-10-25,1613,155809,1027732
30 - 39,CH,2021-10-25,1961,150491,1254957
40 - 49,CH,2021-10-25,1775,137615,1205539
50 - 59,CH,2021-10-25,1434,132023,1300012
60 - 69,CH,2021-10-25,825,72072,991217
70 - 79,CH,2021-10-25,548,43960,744449
80+,CH,2021-10-25,448,47427,471987
Unbekannt,CH,2021-10-25,3,184,NA
0 - 9,CH,2021-11-01,1824,32000,883904
10 - 19,CH,2021-11-01,3164,107556,858994
20 - 29,CH,2021-11-01,2393,158202,1027732
30 - 39,CH,2021-11-01,2663,153154,1254957
40 - 49,CH,2021-11-01,2641,140256,1205539
50 - 59,CH,2021-11-01,2010,134033,1300012
60 - 69,CH,2021-11-01,1144,73216,991217
70 - 79,CH,2021-11-01,748,44708,744449
80+,CH,2021-11-01,635,48062,471987
Unbekannt,CH,2021-11-01,3,187,NA
0 - 9,CH,2021-11-08,2852,34852,883904
10 - 19,CH,2021-11-08,4739,112295,858994
20 - 29,CH,2021-11-08,3153,161355,1027732
30 - 39,CH,2021-11-08,3888,157042,1254957
40 - 49,CH,2021-11-08,3818,144074,1205539
50 - 59,CH,2021-11-08,2930,136963,1300012
60 - 69,CH,2021-11-08,1625,74841,991217
70 - 79,CH,2021-11-08,1050,45758,744449
80+,CH,2021-11-08,822,48884,471987
Unbekannt,CH,2021-11-08,4,191,NA
0 - 9,CH,2021-11-15,4474,39326,883904
10 - 19,CH,2021-11-15,7243,119538,858994
20 - 29,CH,2021-11-15,4543,165898,1027732
30 - 39,CH,2021-11-15,5833,162875,1254957
40 - 49,CH,2021-11-15,5903,149977,1205539
50 - 59,CH,2021-11-15,4474,141437,1300012
60 - 69,CH,2021-11-15,2449,77290,991217
70 - 79,CH,2021-11-15,1592,47350,744449
80+,CH,2021-11-15,1206,50090,471987
Unbekannt,CH,2021-11-15,11,202,NA
0 - 9,CH,2021-11-22,6525,45851,883904
10 - 19,CH,2021-11-22,10311,129849,858994
20 - 29,CH,2021-11-22,5648,171546,1027732
30 - 39,CH,2021-11-22,7772,170647,1254957
40 - 49,CH,2021-11-22,8054,158031,1205539
50 - 59,CH,2021-11-22,5775,147212,1300012
60 - 69,CH,2021-11-22,3337,80627,991217
70 - 79,CH,2021-11-22,2014,49364,744449
80+,CH,2021-11-22,1650,51740,471987
Unbekannt,CH,2021-11-22,8,210,NA
0 - 9,CH,2021-11-29,8336,54187,883904
10 - 19,CH,2021-11-29,12436,142285,858994
20 - 29,CH,2021-11-29,7086,178632,1027732
30 - 39,CH,2021-11-29,9795,180442,1254957
40 - 49,CH,2021-11-29,10277,168308,1205539
50 - 59,CH,2021-11-29,7323,154535,1300012
60 - 69,CH,2021-11-29,3875,84502,991217
70 - 79,CH,2021-11-29,2187,51551,744449
80+,CH,2021-11-29,1731,53471,471987
Unbekannt,CH,2021-11-29,17,227,NA
0 - 9,CH,2021-12-06,9031,63218,883904
10 - 19,CH,2021-12-06,11375,153660,858994
20 - 29,CH,2021-12-06,7726,186358,1027732
30 - 39,CH,2021-12-06,10596,191038,1254957
40 - 49,CH,2021-12-06,10752,179060,1205539
50 - 59,CH,2021-12-06,7438,161973,1300012
60 - 69,CH,2021-12-06,4032,88534,991217
70 - 79,CH,2021-12-06,1975,53526,744449
80+,CH,2021-12-06,1369,54840,471987
Unbekannt,CH,2021-12-06,14,241,NA
0 - 9,CH,2021-12-13,8013,71231,883904
10 - 19,CH,2021-12-13,9815,163475,858994
20 - 29,CH,2021-12-13,8142,194500,1027732
30 - 39,CH,2021-12-13,10764,201802,1254957
40 - 49,CH,2021-12-13,10185,189245,1205539
50 - 59,CH,2021-12-13,7166,169139,1300012
60 - 69,CH,2021-12-13,3669,92203,991217
70 - 79,CH,2021-12-13,1696,55222,744449
80+,CH,2021-12-13,1115,55955,471987
Unbekannt,CH,2021-12-13,10,251,NA
0 - 9,CH,2021-12-20,5787,77018,883904
10 - 19,CH,2021-12-20,9076,172551,858994
20 - 29,CH,2021-12-20,13607,208107,1027732
30 - 39,CH,2021-12-20,13508,215310,1254957
40 - 49,CH,2021-12-20,11144,200389,1205539
50 - 59,CH,2021-12-20,8163,177302,1300012
60 - 69,CH,2021-12-20,3956,96159,991217
70 - 79,CH,2021-12-20,1655,56877,744449
80+,CH,2021-12-20,1067,57022,471987
Unbekannt,CH,2021-12-20,15,266,NA
0 - 9,CH,2021-12-27,6199,83217,883904
10 - 19,CH,2021-12-27,13792,186343,858994
20 - 29,CH,2021-12-27,25222,233329,1027732
30 - 39,CH,2021-12-27,22304,237614,1254957
40 - 49,CH,2021-12-27,18011,218400,1205539
50 - 59,CH,2021-12-27,15125,192427,1300012
60 - 69,CH,2021-12-27,7075,103234,991217
70 - 79,CH,2021-12-27,2842,59719,744449
80+,CH,2021-12-27,1567,58589,471987
Unbekannt,CH,2021-12-27,36,302,NA
0 - 9,CH,2022-01-03,9540,92757,883904
10 - 19,CH,2022-01-03,27152,213495,858994
20 - 29,CH,2022-01-03,46115,279444,1027732
30 - 39,CH,2022-01-03,34447,272061,1254957
40 - 49,CH,2022-01-03,27026,245426,1205539
50 - 59,CH,2022-01-03,22130,214557,1300012
60 - 69,CH,2022-01-03,8980,112214,991217
70 - 79,CH,2022-01-03,3458,63177,744449
80+,CH,2022-01-03,1924,60513,471987
Unbekannt,CH,2022-01-03,70,372,NA
0 - 9,CH,2022-01-10,17358,110115,883904
10 - 19,CH,2022-01-10,30924,244419,858994
20 - 29,CH,2022-01-10,34047,313491,1027732
30 - 39,CH,2022-01-10,35359,307420,1254957
40 - 49,CH,2022-01-10,30241,275667,1205539
50 - 59,CH,2022-01-10,22301,236858,1300012
60 - 69,CH,2022-01-10,9467,121681,991217
70 - 79,CH,2022-01-10,3412,66589,744449
80+,CH,2022-01-10,2178,62691,471987
Unbekannt,CH,2022-01-10,62,434,NA
0 - 9,CH,2022-01-17,32116,142231,883904
10 - 19,CH,2022-01-17,41212,285631,858994
20 - 29,CH,2022-01-17,35104,348595,1027732
30 - 39,CH,2022-01-17,46313,353733,1254957
40 - 49,CH,2022-01-17,39448,315115,1205539
50 - 59,CH,2022-01-17,25465,262323,1300012
60 - 69,CH,2022-01-17,11160,132841,991217
70 - 79,CH,2022-01-17,4081,70670,744449
80+,CH,2022-01-17,2514,65205,471987
Unbekannt,CH,2022-01-17,48,482,NA
0 - 9,CH,2022-01-24,34688,176919,883904
10 - 19,CH,2022-01-24,43383,329014,858994
20 - 29,CH,2022-01-24,34173,382768,1027732
30 - 39,CH,2022-01-24,49275,403008,1254957
40 - 49,CH,2022-01-24,42011,357126,1205539
50 - 59,CH,2022-01-24,25653,287976,1300012
60 - 69,CH,2022-01-24,11933,144774,991217
70 - 79,CH,2022-01-24,4600,75270,744449
80+,CH,2022-01-24,2702,67907,471987
Unbekannt,CH,2022-01-24,56,538,NA
0 - 9,CH,2022-01-31,22462,199381,883904
10 - 19,CH,2022-01-31,32974,361988,858994
20 - 29,CH,2022-01-31,29704,412472,1027732
30 - 39,CH,2022-01-31,40526,443534,1254957
40 - 49,CH,2022-01-31,35190,392316,1205539
50 - 59,CH,2022-01-31,22697,310673,1300012
60 - 69,CH,2022-01-31,10939,155713,991217
70 - 79,CH,2022-01-31,4425,79695,744449
80+,CH,2022-01-31,2736,70643,471987
Unbekannt,CH,2022-01-31,17,555,NA
0 - 9,CH,2022-02-07,14549,213930,883904
10 - 19,CH,2022-02-07,23314,385302,858994
20 - 29,CH,2022-02-07,22892,435364,1027732
30 - 39,CH,2022-02-07,29979,473513,1254957
40 - 49,CH,2022-02-07,26034,418350,1205539
50 - 59,CH,2022-02-07,18347,329020,1300012
60 - 69,CH,2022-02-07,9257,164970,991217
70 - 79,CH,2022-02-07,4138,83833,744449
80+,CH,2022-02-07,2737,73380,471987
Unbekannt,CH,2022-02-07,15,570,NA
0 - 9,CH,2022-02-14,9289,223219,883904
10 - 19,CH,2022-02-14,15476,400778,858994
20 - 29,CH,2022-02-14,17085,452449,1027732
30 - 39,CH,2022-02-14,21568,495081,1254957
40 - 49,CH,2022-02-14,18681,437031,1205539
50 - 59,CH,2022-02-14,14258,343278,1300012
60 - 69,CH,2022-02-14,7476,172446,991217
70 - 79,CH,2022-02-14,3629,87462,744449
80+,CH,2022-02-14,2336,75716,471987
Unbekannt,CH,2022-02-14,17,587,NA
0 - 9,CH,2022-02-21,7216,230435,883904
10 - 19,CH,2022-02-21,13909,414687,858994
20 - 29,CH,2022-02-21,17965,470414,1027732
30 - 39,CH,2022-02-21,20633,515714,1254957
40 - 49,CH,2022-02-21,17573,454604,1205539
50 - 59,CH,2022-02-21,14463,357741,1300012
60 - 69,CH,2022-02-21,7481,179927,991217
70 - 79,CH,2022-02-21,3623,91085,744449
80+,CH,2022-02-21,2287,78003,471987
Unbekannt,CH,2022-02-21,17,604,NA
0 - 9,CH,2022-02-28,7445,237880,883904
10 - 19,CH,2022-02-28,17994,432681,858994
20 - 29,CH,2022-02-28,28858,499272,1027732
30 - 39,CH,2022-02-28,30217,545931,1254957
40 - 49,CH,2022-02-28,24561,479165,1205539
50 - 59,CH,2022-02-28,22390,380131,1300012
60 - 69,CH,2022-02-28,11387,191314,991217
70 - 79,CH,2022-02-28,5385,96470,744449
80+,CH,2022-02-28,3083,81086,471987
Unbekannt,CH,2022-02-28,7,611,NA
0 - 9,CH,2022-03-07,8406,246286,883904
10 - 19,CH,2022-03-07,20574,453255,858994
20 - 29,CH,2022-03-07,31560,530832,1027732
30 - 39,CH,2022-03-07,36257,582188,1254957
40 - 49,CH,2022-03-07,30858,510023,1205539
50 - 59,CH,2022-03-07,30924,411055,1300012
60 - 69,CH,2022-03-07,17141,208455,991217
70 - 79,CH,2022-03-07,9103,105573,744449
80+,CH,2022-03-07,5224,86310,471987
Unbekannt,CH,2022-03-07,19,630,NA
0 - 9,CH,2022-03-14,8039,254325,883904
10 - 19,CH,2022-03-14,18413,471668,858994
20 - 29,CH,2022-03-14,25956,556788,1027732
30 - 39,CH,2022-03-14,33644,615832,1254957
40 - 49,CH,2022-03-14,30259,540282,1205539
50 - 59,CH,2022-03-14,31325,442380,1300012
60 - 69,CH,2022-03-14,18307,226762,991217
70 - 79,CH,2022-03-14,10621,116194,744449
80+,CH,2022-03-14,6276,92586,471987
Unbekannt,CH,2022-03-14,17,647,NA
0 - 9,CH,2022-03-21,5280,259605,883904
10 - 19,CH,2022-03-21,10961,482629,858994
20 - 29,CH,2022-03-21,15942,572730,1027732
30 - 39,CH,2022-03-21,22340,638172,1254957
40 - 49,CH,2022-03-21,20473,560755,1205539
50 - 59,CH,2022-03-21,21151,463531,1300012
60 - 69,CH,2022-03-21,12883,239645,991217
70 - 79,CH,2022-03-21,7889,124083,744449
80+,CH,2022-03-21,4964,97550,471987
Unbekannt,CH,2022-03-21,19,666,NA
0 - 9,CH,2022-03-28,2250,261855,883904
10 - 19,CH,2022-03-28,5307,487936,858994
20 - 29,CH,2022-03-28,8622,581352,1027732
30 - 39,CH,2022-03-28,12210,650382,1254957
40 - 49,CH,2022-03-28,11130,571885,1205539
50 - 59,CH,2022-03-28,11856,475387,1300012
60 - 69,CH,2022-03-28,7328,246973,991217
70 - 79,CH,2022-03-28,4656,128739,744449
80+,CH,2022-03-28,3219,100769,471987
Unbekannt,CH,2022-03-28,8,674,NA
0 - 9,CH,2022-04-04,1139,262994,883904
10 - 19,CH,2022-04-04,2227,490163,858994
20 - 29,CH,2022-04-04,5231,586583,1027732
30 - 39,CH,2022-04-04,7795,658177,1254957
40 - 49,CH,2022-04-04,6759,578644,1205539
50 - 59,CH,2022-04-04,7489,482876,1300012
60 - 69,CH,2022-04-04,4923,251896,991217
70 - 79,CH,2022-04-04,3149,131888,744449
80+,CH,2022-04-04,2208,102977,471987
Unbekannt,CH,2022-04-04,4,678,NA
0 - 9,CH,2022-04-11,722,263716,883904
10 - 19,CH,2022-04-11,1545,491708,858994
20 - 29,CH,2022-04-11,3622,590205,1027732
30 - 39,CH,2022-04-11,5658,663835,1254957
40 - 49,CH,2022-04-11,5008,583652,1205539
50 - 59,CH,2022-04-11,5853,488729,1300012
60 - 69,CH,2022-04-11,3967,255863,991217
70 - 79,CH,2022-04-11,2803,134691,744449
80+,CH,2022-04-11,1839,104816,471987
Unbekannt,CH,2022-04-11,6,684,NA
0 - 9,CH,2022-04-18,413,264129,883904
10 - 19,CH,2022-04-18,881,492589,858994
20 - 29,CH,2022-04-18,2797,593002,1027732
30 - 39,CH,2022-04-18,4039,667874,1254957
40 - 49,CH,2022-04-18,3545,587197,1205539
50 - 59,CH,2022-04-18,4196,492925,1300012
60 - 69,CH,2022-04-18,2924,258787,991217
70 - 79,CH,2022-04-18,1985,136676,744449
80+,CH,2022-04-18,1556,106372,471987
Unbekannt,CH,2022-04-18,4,688,NA
0 - 9,CH,2022-04-25,281,264410,883904
10 - 19,CH,2022-04-25,742,493331,858994
20 - 29,CH,2022-04-25,2135,595137,1027732
30 - 39,CH,2022-04-25,2935,670809,1254957
40 - 49,CH,2022-04-25,2651,589848,1205539
50 - 59,CH,2022-04-25,3196,496121,1300012
60 - 69,CH,2022-04-25,2159,260946,991217
70 - 79,CH,2022-04-25,1592,138268,744449
